CM.TO,RY.TO,TD.TO,BNS.TO,BMO.TO,NA.TO,JPM,BAC,WFC,GS
1.0,0.69,0.48,0.66,0.65,0.53,0.51,0.56,0.5,0.5
0.69,1.0,0.55,0.6,0.66,0.57,0.55,0.57,0.51,0.57
0.48,0.55,1.0,0.55,0.55,0.46,0.49,0.53,0.49,0.49
0.66,0.6,0.55,1.0,0.62,0.46,0.45,0.54,0.46,0.51
0.65,0.66,0.55,0.62,1.0,0.53,0.55,0.61,0.54,0.59
0.53,0.57,0.46,0.46,0.53,1.0,0.49,0.5,0.43,0.48
0.51,0.55,0.49,0.45,0.55,0.49,1.0,0.81,0.76,0.75
0.56,0.57,0.53,0.54,0.61,0.5,0.81,1.0,0.82,0.74
0.5,0.51,0.49,0.46,0.54,0.43,0.76,0.82,1.0,0.7
0.5,0.57,0.49,0.51,0.59,0.48,0.75,0.74,0.7,1.0
